17|8|21|15
24|4|25|26
20|27|11|6
23|3|19|10
22|1|16|12
9|2|7|28
13|14|5|18
8|16|24|11
6|23|21|22
14|28|25|19
3|12|27|13
1|15|9|18
26|10|7|20
4|5|17|2
6|11|28|15
14|9|19|22
21|23|27|26
4|7|3|18
8|5|10|17
25|12|1|20
13|2|16|24
28|27|14|7
10|21|22|19
11|26|12|25
20|13|5|17
2|6|16|9
24|18|4|1
23|15|8|3
19|26|5|27
10|9|12|6
18|24|25|21
2|16|1|7
28|4|15|8
17|3|13|23
22|11|20|14
28|25|26|1
9|7|18|5
12|17|24|23
21|15|4|2
27|10|6|14
16|19|20|22
3|8|13|11
25|9|24|27
7|6|17|10
18|22|23|16
12|20|4|14
5|21|26|3
15|8|2|13
19|1|11|28
10|26|23|24
16|6|3|5
22|19|15|17
1|13|2|12
25|21|8|28
18|11|14|9
7|27|20|4
2|25|22|23
15|5|1|3
16|14|10|9
19|20|28|8
27|24|13|4
7|17|12|11
26|18|6|21
5|22|10|24
1|14|8|4
15|13|9|7
11|19|18|27
26|20|23|2
21|28|6|16
12|17|3|25
